,region,adm,location,media_0,inse_1,inse_2,inse_3,inse_4,inse_5,inse_6,inse_7,inse_8,year
886,Sergipe,Total,Urbana,4.66,3.21,23.37,19.01,18.87,15.33,10.77,8.2,1.25,2019
889,Sergipe,Total,Rural,4.05,7.33,43.43,22.43,14.3,7.97,3.17,1.25,0.13,2019
892,Sergipe,Federal,Total,4.77,0.94,19.1,18.94,23.13,17.86,11.51,8.52,0,2019
895,Sergipe,Federal,Urbana,4.91,0.33,16.05,15.31,22.98,19.71,15.01,10.6,0,2019
898,Sergipe,Federal,Rural,4.45,2.35,26.1,27.28,23.48,13.6,3.47,3.73,0,2019
901,Sergipe,Estadual,Total,4.31,5.26,31.72,22.6,19.47,12.42,5.98,2.37,0.18,2019
904,Sergipe,Estadual,Urbana,4.33,5.04,31.09,22.65,19.81,12.66,6.15,2.4,0.19,2019
907,Sergipe,Estadual,Rural,3.94,10.2,45.76,21.39,11.88,6.97,2.07,1.65,0.08,2019
910,Sergipe,Municipal,Total,4.25,4.68,35.3,23.65,18.62,10.73,4.78,1.97,0.27,2019
913,Sergipe,Municipal,Urbana,4.37,3.27,30.33,24.27,21.04,12.46,5.73,2.55,0.35,2019
916,Sergipe,Municipal,Rural,4.05,7.12,43.89,22.58,14.43,7.74,3.14,0.98,0.13,2019
919,Sergipe,Privada,Total,5.53,0.11,2.94,7.3,14.86,22.91,23.86,24.01,4.02,2019
922,Sergipe,Privada,Urbana,5.54,0.09,2.94,7.24,14.84,22.86,23.92,24.07,4.04,2019
925,Sergipe,Privada,Rural,5.14,2.56,3.38,14.45,16.91,29.71,15.99,16.19,0.82,2019
937,Sergipe,Pública,Total,4.29,4.94,33.35,23.08,19.09,11.64,5.44,2.23,0.22,2019
940,Sergipe,Pública,Urbana,4.35,4.32,30.69,23.22,20.31,12.63,6.06,2.52,0.25,2019
943,Sergipe,Pública,Rural,4.04,7.38,43.86,22.51,14.27,7.74,3.03,1.08,0.12,2019
946,Bahia,Total,Total,4.58,2.98,24.15,21.54,20.77,14.85,8.63,6.08,1.01,2019
949,Bahia,Total,Urbana,4.66,2.64,21.55,20.92,21.18,15.84,9.64,7.04,1.19,2019
952,Bahia,Total,Rural,4.21,4.57,36.43,24.46,18.83,10.15,3.86,1.55,0.14,2019
955,Bahia,Federal,Total,4.92,0.73,13.82,19.4,19.97,20.11,14.46,10.5,1.01,2019
958,Bahia,Federal,Urbana,4.96,0.66,13.2,18.92,19.39,20.35,15,11.37,1.11,2019
961,Bahia,Federal,Rural,4.63,1.32,19.09,23.48,24.89,18.04,9.86,3.09,0.22,2019
964,Bahia,Estadual,Total,4.36,4.69,29.47,23.16,20.72,12.87,6.08,2.76,0.23,2019
967,Bahia,Estadual,Urbana,4.37,4.53,28.74,23.18,21.05,13.17,6.24,2.86,0.24,2019
970,Bahia,Estadual,Rural,4.08,7.33,41.24,22.89,15.46,8.15,3.54,1.28,0.11,2019
973,Bahia,Municipal,Total,4.43,2.77,27.11,24.76,22.12,13.87,6.25,2.85,0.28,2019
976,Bahia,Municipal,Urbana,4.52,2.14,23.33,24.8,23.48,15.34,7.22,3.37,0.33,2019
979,Bahia,Municipal,Rural,4.22,4.32,36.36,24.68,18.79,10.26,3.86,1.58,0.15,2019
982,Bahia,Privada,Total,5.58,0.08,2.44,6.54,16.13,22.39,22.39,24.69,5.34,2019
985,Bahia,Privada,Urbana,5.6,0.05,2.08,6.14,15.61,22.59,22.83,25.23,5.47,2019
988,Bahia,Privada,Rural,4.53,1.2,17.63,23.49,37.86,14.27,3.95,1.6,0,2019
1000,Bahia,Pública,Total,4.41,3.48,27.87,24.1,21.57,13.56,6.27,2.9,0.27,2019
1003,Bahia,Pública,Urbana,4.46,3.18,25.62,24.01,22.35,14.43,6.88,3.23,0.3,2019
1006,Bahia,Pública,Rural,4.21,4.63,36.8,24.48,18.46,10.07,3.86,1.55,0.14,2019
1009,Minas Gerais,Total,Total,5.11,0.96,10.78,13.92,19.88,20.97,16.43,14.72,2.35,2019
1012,Minas Gerais,Total,Urbana,5.14,0.87,10.08,13.61,19.83,21.21,16.79,15.17,2.44,2019
1015,Minas Gerais,Total,Rural,4.51,2.89,26.44,20.85,20.9,15.65,8.39,4.57,0.31,2019
1018,Minas Gerais,Federal,Total,5.58,0.1,3.11,7.04,13.59,21.84,22.94,27.24,4.14,2019
1021,Minas Gerais,Federal,Urbana,5.68,0.05,2.2,5.92,12.18,20.62,23.27,30.85,4.92,2019
1024,Minas Gerais,Federal,Rural,5.25,0.27,6.26,10.89,18.43,26.05,21.79,14.85,1.47,2019
1027,Minas Gerais,Estadual,Total,4.93,1.35,13.46,15.77,21.54,21.66,15.2,10.14,0.89,2019
1030,Minas Gerais,Estadual,Urbana,4.95,1.25,12.75,15.6,21.68,21.98,15.48,10.36,0.91,2019
1033,Minas Gerais,Estadual,Rural,4.19,5.22,39.16,22.11,16.25,10.08,4.75,2.27,0.15,2019
1036,Minas Gerais,Municipal,Total,5.02,0.58,9.93,15.57,22.84,23.07,16.27,10.78,0.96,2019
1039,Minas Gerais,Municipal,Urbana,5.06,0.49,8.99,15.09,22.73,23.52,16.87,11.29,1.02,2019
1042,Minas Gerais,Municipal,Rural,4.63,1.65,20.77,21.08,24.07,17.95,9.36,4.85,0.27,2019
1045,Minas Gerais,Privada,Total,6.15,0.06,0.56,1.24,4.65,12.1,22.31,46.18,12.9,2019
1048,Minas Gerais,Privada,Urbana,6.16,0.03,0.42,1.09,4.51,12.03,22.42,46.49,13,2019
1051,Minas Gerais,Privada,Rural,4.76,3.36,16.72,18.98,20.88,20.73,9.12,9.14,1.07,2019
1063,Minas Gerais,Pública,Total,4.97,1.07,12.13,15.6,21.89,22.15,15.65,10.56,0.95,2019
1066,Minas Gerais,Pública,Urbana,4.99,0.99,11.41,15.34,21.94,22.48,16.01,10.86,0.98,2019
1069,Minas Gerais,Pública,Rural,4.5,2.88,26.67,20.89,20.91,15.53,8.37,4.46,0.29,2019
1072,Espírito Santo,Total,Total,5.08,0.69,10.3,15.6,21.19,20.68,15.72,13.59,2.24,2019
1075,Espírito Santo,Total,Urbana,5.11,0.66,9.91,15.3,20.97,20.75,15.97,14.08,2.35,2019
1078,Espírito Santo,Total,Rural,4.78,1.05,15.89,19.95,24.4,19.68,12.06,6.36,0.62,2019
1081,Espírito Santo,Federal,Total,5.6,0.07,2.39,5.37,15.78,22.04,22.58,26.96,4.81,2019
1084,Espírito Santo,Federal,Urbana,5.63,0.08,2.62,5.3,15.05,20.89,22.13,28.44,5.49,2019
1087,Espírito Santo,Federal,Rural,5.47,0,1.4,5.66,18.9,26.97,24.5,20.67,1.91,2019
1090,Espírito Santo,Estadual,Total,4.88,1.04,12.87,18.13,23.44,21.85,14.13,7.97,0.58,2019
1093,Espírito Santo,Estadual,Urbana,4.89,1.04,12.67,18.07,23.47,21.91,14.21,8.04,0.59,2019
1096,Espírito Santo,Estadual,Rural,4.76,1.06,17.32,19.64,22.61,20.51,12.22,6.39,0.25,2019
1099,Espírito Santo,Municipal,Total,4.94,0.61,11.24,17.8,24.24,22.03,14.45,8.82,0.8,2019
1102,Espírito Santo,Municipal,Urbana,4.96,0.56,10.71,17.49,24.09,22.38,14.78,9.16,0.83,2019
1105,Espírito Santo,Municipal,Rural,4.74,1.13,16.49,20.87,25.79,18.65,11.15,5.43,0.48,2019
1108,Espírito Santo,Privada,Total,6.15,0.03,0.33,1.34,4.06,12.2,24.2,45.83,12.02,2019
1111,Espírito Santo,Privada,Urbana,6.15,0.03,0.26,1.15,4.02,12.04,24.28,46.16,12.06,2019
1114,Espírito Santo,Privada,Rural,5.18,0,7.69,23.08,7.69,30.77,15.38,7.69,7.69,2019
1126,Espírito Santo,Pública,Total,4.93,0.79,11.79,17.74,23.76,21.95,14.45,8.75,0.77,2019
1129,Espírito Santo,Pública,Urbana,4.94,0.77,11.46,17.57,23.68,22.15,14.64,8.94,0.79,2019
1132,Espírito Santo,Pública,Rural,4.77,1.06,16.04,19.9,24.7,19.48,12,6.33,0.49,2019
1135,Rio de Janeiro,Total,Total,5.16,0.52,8.13,14.86,21.41,21.34,15.87,15.19,2.68,2019
1138,Rio de Janeiro,Total,Urbana,5.17,0.51,7.92,14.68,21.31,21.37,16.01,15.49,2.72,2019
1141,Rio de Janeiro,Total,Rural,4.9,0.87,12.91,19,23.71,20.59,12.75,8.35,1.82,2019
1144,Rio de Janeiro,Federal,Total,5.57,0,2.38,7.41,14.69,22.96,22.02,26.76,3.79,2019
1147,Rio de Janeiro,Federal,Urbana,5.57,0,2.37,7.33,14.53,22.92,21.92,27.13,3.8,2019
1150,Rio de Janeiro,Federal,Rural,5.38,0,2.6,10.15,20.04,24.07,25.21,14.32,3.62,2019
1153,Rio de Janeiro,Estadual,Total,4.86,1.04,12.45,19.23,25.53,20.94,12.83,7.33,0.65,2019
1156,Rio de Janeiro,Estadual,Urbana,4.86,1.02,12.31,19.23,25.61,20.96,12.86,7.34,0.66,2019
1159,Rio de Janeiro,Estadual,Rural,4.78,1.46,16.15,19.24,23.37,20.39,11.88,7.07,0.43,2019
1162,Rio de Janeiro,Municipal,Total,4.91,0.55,10.64,19.57,25.84,21.65,13.02,7.94,0.8,2019
1165,Rio de Janeiro,Municipal,Urbana,4.91,0.54,10.48,19.52,25.9,21.7,13.07,7.99,0.81,2019
1168,Rio de Janeiro,Municipal,Rural,4.85,0.73,12.82,20.32,24.96,21.03,12.26,7.23,0.65,2019
1171,Rio de Janeiro,Privada,Total,5.81,0,0.5,4,11.18,21.18,22.75,33.01,7.39,2019
1174,Rio de Janeiro,Privada,Urbana,5.81,0,0.5,4.01,11.19,21.23,22.77,33.05,7.26,2019
1177,Rio de Janeiro,Privada,Rural,6.12,0,0.54,2.06,9.43,15.06,21.01,28.23,23.67,2019
1189,Rio de Janeiro,Pública,Total,4.9,0.73,11.18,19.2,25.5,21.4,13.12,8.07,0.8,2019
1192,Rio de Janeiro,Pública,Urbana,4.9,0.72,11.03,19.16,25.56,21.43,13.17,8.12,0.81,2019
1195,Rio de Janeiro,Pública,Rural,4.84,0.92,13.59,19.93,24.49,20.89,12.3,7.26,0.62,2019
1198,São Paulo,Total,Total,5.42,0.22,4.23,9.62,17.87,22.98,20.77,19.79,4.52,2019
1201,São Paulo,Total,Urbana,5.42,0.22,4.18,9.57,17.82,22.97,20.82,19.88,4.55,2019
1204,São Paulo,Total,Rural,5.16,0.38,8.19,13.25,21.42,23.67,17.16,13.77,2.15,2019
1207,São Paulo,Federal,Total,5.7,0.05,1.17,4.09,11.28,23.1,26.28,29.36,4.67,2019
1210,São Paulo,Federal,Urbana,5.7,0.05,1.17,4.09,11.28,23.1,26.28,29.36,4.67,2019
1213,São Paulo,Federal,Rural,0,,,,,,,,,2019
1216,São Paulo,Estadual,Total,5.22,0.28,5.18,11.62,21.04,25.81,20.63,14.26,1.19,2019
1219,São Paulo,Estadual,Urbana,5.23,0.28,5.12,11.59,21.02,25.83,20.67,14.3,1.19,2019
1222,São Paulo,Estadual,Rural,5.05,0.43,9.81,14.49,22.46,23.81,16.97,11.12,0.91,2019
1225,São Paulo,Municipal,Total,5.24,0.21,5.07,11.61,20.92,25.56,20.52,14.78,1.34,2019
1228,São Paulo,Municipal,Urbana,5.24,0.2,5.01,11.55,20.87,25.55,20.59,14.87,1.35,2019
1231,São Paulo,Municipal,Rural,5.09,0.39,7.81,13.91,22.91,25.68,17.26,11,1.04,2019
1234,São Paulo,Privada,Total,6.28,0.06,0.2,0.7,3.86,10.68,21.5,43.75,19.24,2019
1237,São Paulo,Privada,Urbana,6.28,0.06,0.2,0.7,3.86,10.68,21.52,43.72,19.26,2019
1240,São Paulo,Privada,Rural,6.27,0,0.14,1.06,5.34,10.19,17.8,48.37,17.1,2019
1252,São Paulo,Pública,Total,5.23,0.25,5.13,11.6,20.98,25.71,20.6,14.47,1.25,2019
1255,São Paulo,Pública,Urbana,5.23,0.25,5.07,11.56,20.95,25.73,20.66,14.53,1.25,2019
1258,São Paulo,Pública,Rural,5.07,0.41,8.82,14.21,22.68,24.73,17.11,11.06,0.98,2019
1261,Paraná,Total,Total,5.45,0.15,4.26,8.98,16.71,22.84,21.4,21.7,3.95,2019
1264,Paraná,Total,Urbana,5.47,0.14,3.95,8.64,16.38,22.84,21.69,22.27,4.1,2019
1267,Paraná,Total,Rural,4.97,0.52,10.99,16.38,23.96,22.81,15.17,9.38,0.81,2019
1270,Paraná,Federal,Total,5.86,0.09,0.48,3.35,9.61,19.1,23.75,37.55,6.07,2019
1273,Paraná,Federal,Urbana,5.86,0.09,0.43,3.13,9.6,19.01,23.79,37.81,6.14,2019
1276,Paraná,Federal,Rural,5.22,0,5.26,21.05,10.53,26.32,21.05,15.79,0,2019
1279,Paraná,Estadual,Total,5.3,0.22,5.16,10.26,18.75,25.13,22.08,16.92,1.48,2019
1282,Paraná,Estadual,Urbana,5.32,0.2,4.77,9.9,18.46,25.28,22.5,17.37,1.53,2019
1285,Paraná,Estadual,Rural,4.9,0.63,12.84,17.36,24.44,22.16,13.83,8.13,0.6,2019
1288,Paraná,Municipal,Total,5.27,0.12,4.73,10.75,20.06,25.82,21.62,15.52,1.38,2019
1291,Paraná,Municipal,Urbana,5.29,0.11,4.49,10.48,19.82,25.91,21.93,15.84,1.43,2019
1294,Paraná,Municipal,Rural,5.02,0.39,8.82,15.32,24.03,24.36,16.33,10.23,0.52,2019
1297,Paraná,Privada,Total,6.36,0,0.17,0.71,2.27,8.13,18.36,51.87,18.5,2019
1300,Paraná,Privada,Urbana,6.36,0,0.16,0.67,2.24,8.13,18.29,52,18.52,2019
1303,Paraná,Privada,Rural,5.91,0,1,7.98,8.2,8.2,31.02,29.56,14.04,2019
1315,Paraná,Pública,Total,5.29,0.18,4.96,10.38,19.16,25.34,21.92,16.58,1.48,2019
1318,Paraná,Pública,Urbana,5.31,0.16,4.62,10.06,18.89,25.46,22.3,16.98,1.53,2019
1321,Paraná,Pública,Rural,4.95,0.53,11.17,16.53,24.24,23.07,14.88,9.01,0.57,2019
1324,Santa Catarina,Total,Total,5.59,0.08,2.19,6.14,13.77,23.1,25.27,25.45,4,2019
1327,Santa Catarina,Total,Urbana,5.6,0.08,2.13,5.96,13.51,22.87,25.3,25.99,4.16,2019
1330,Santa Catarina,Total,Rural,5.34,0.14,3.15,9.16,18.31,27.25,24.72,16.12,1.14,2019
1333,Santa Catarina,Federal,Total,5.87,0.07,0.55,2.21,6.88,18.37,30.33,36.53,5.07,2019
1336,Santa Catarina,Federal,Urbana,5.88,0.04,0.52,2.11,6.38,18.29,30.45,36.99,5.22,2019
1339,Santa Catarina,Federal,Rural,5.68,0.53,0.81,3.51,13,19.28,28.78,30.87,3.22,2019
1342,Santa Catarina,Estadual,Total,5.46,0.11,2.63,7.1,15.72,25.58,26.06,21.1,1.7,2019
1345,Santa Catarina,Estadual,Urbana,5.46,0.1,2.6,7,15.59,25.53,26.13,21.33,1.72,2019
1348,Santa Catarina,Estadual,Rural,5.33,0.23,3.42,9.26,18.6,26.65,24.49,16.02,1.32,2019
1351,Santa Catarina,Municipal,Total,5.46,0.06,2.38,7.04,15.83,25.74,26.23,20.85,1.86,2019
1354,Santa Catarina,Municipal,Urbana,5.48,0.06,2.31,6.82,15.59,25.54,26.38,21.35,1.95,2019
1357,Santa Catarina,Municipal,Rural,5.33,0.07,3.06,9.31,18.33,27.89,24.71,15.71,0.92,2019
1360,Santa Catarina,Privada,Total,6.41,0.03,0.1,0.31,1.19,6.59,18.91,54.06,18.81,2019
1363,Santa Catarina,Privada,Urbana,6.41,0.03,0.1,0.31,1.19,6.57,18.9,54.08,18.81,2019
1366,Santa Catarina,Privada,Rural,5.91,0,0,0,5,32.5,32.5,13.33,16.67,2019
1378,Santa Catarina,Pública,Total,5.47,0.09,2.49,6.99,15.62,25.53,26.2,21.25,1.82,2019
1381,Santa Catarina,Pública,Urbana,5.48,0.08,2.45,6.85,15.44,25.41,26.3,21.59,1.87,2019
1384,Santa Catarina,Pública,Rural,5.34,0.14,3.15,9.18,18.33,27.25,24.71,16.13,1.12,2019
1387,Rio Grande do Sul,Total,Total,5.46,0.16,3.92,8.62,16.41,22.63,22.04,22.48,3.74,2019
1390,Rio Grande do Sul,Total,Urbana,5.48,0.16,3.73,8.35,16.06,22.54,22.2,23.05,3.91,2019
1393,Rio Grande do Sul,Total,Rural,5.17,0.18,6.96,12.85,21.72,23.94,19.56,13.74,1.05,2019
1396,Rio Grande do Sul,Federal,Total,5.77,0.05,1.45,5.5,10.57,18.04,24.66,33.08,6.64,2019
1399,Rio Grande do Sul,Federal,Urbana,5.83,0.07,1.42,4.76,9.46,16.82,25.43,34.8,7.25,2019
1402,Rio Grande do Sul,Federal,Rural,5.53,0,1.62,8.79,15.51,23.49,21.21,25.45,3.95,2019
1405,Rio Grande do Sul,Estadual,Total,5.36,0.18,4.37,9.42,17.87,24.23,22.8,19.39,1.73,2019
1408,Rio Grande do Sul,Estadual,Urbana,5.37,0.18,4.23,9.26,17.76,24.3,22.92,19.6,1.76,2019
1411,Rio Grande do Sul,Estadual,Rural,5.17,0.14,7.9,13.26,20.46,22.75,20.12,14.3,1.07,2019
1414,Rio Grande do Sul,Municipal,Total,5.28,0.18,4.75,10.54,19.51,25.19,22.26,16.35,1.21,2019
1417,Rio Grande do Sul,Municipal,Urbana,5.3,0.17,4.49,10.25,19.11,25.26,22.64,16.82,1.26,2019
1420,Rio Grande do Sul,Municipal,Rural,5.14,0.22,6.93,13,22.94,24.62,19,12.46,0.84,2019
1423,Rio Grande do Sul,Privada,Total,6.27,0.05,0.4,1.08,3.69,10.66,18.48,48.42,17.22,2019
1426,Rio Grande do Sul,Privada,Urbana,6.27,0.05,0.41,1.06,3.68,10.63,18.43,48.48,17.27,2019
1429,Rio Grande do Sul,Privada,Rural,5.68,0,0,6.81,9.41,20.91,33.42,28.13,1.33,2019
1441,Rio Grande do Sul,Pública,Total,5.34,0.18,4.48,9.82,18.42,24.52,22.61,18.37,1.6,2019
1444,Rio Grande do Sul,Pública,Urbana,5.35,0.18,4.29,9.59,18.17,24.57,22.84,18.72,1.64,2019
1447,Rio Grande do Sul,Pública,Rural,5.16,0.18,7.01,12.89,21.8,23.96,19.46,13.64,1.05,2019
1450,Mato Grosso do Sul,Total,Total,5.16,0.4,8.97,14.42,20.8,21.56,16.25,14.74,2.86,2019
1453,Mato Grosso do Sul,Total,Urbana,5.2,0.3,8.03,13.75,20.62,21.85,16.82,15.55,3.07,2019
1456,Mato Grosso do Sul,Total,Rural,4.67,1.53,19.82,22.11,22.83,18.18,9.67,5.34,0.52,2019
1459,Mato Grosso do Sul,Federal,Total,5.85,0.22,1,6.51,6.75,14.07,26.04,37.74,7.66,2019
1462,Mato Grosso do Sul,Federal,Urbana,6.06,0.35,0,3.69,4.16,11.26,24.68,45.81,10.05,2019
1465,Mato Grosso do Sul,Federal,Rural,5.5,0,2.69,11.28,11.13,18.81,28.33,24.15,3.62,2019
1468,Mato Grosso do Sul,Estadual,Total,5.05,0.42,9.45,15.47,22.43,23.15,16.5,11.45,1.12,2019
1471,Mato Grosso do Sul,Estadual,Urbana,5.07,0.36,8.9,15.1,22.35,23.42,16.9,11.82,1.16,2019
1474,Mato Grosso do Sul,Estadual,Rural,4.69,1.36,18.48,21.68,23.73,18.78,9.94,5.49,0.53,2019
1477,Mato Grosso do Sul,Municipal,Total,4.98,0.46,10.97,16.97,23.4,22.63,14.83,9.77,0.97,2019
1480,Mato Grosso do Sul,Municipal,Urbana,5.03,0.27,9.38,16.1,23.56,23.36,15.73,10.55,1.05,2019
1483,Mato Grosso do Sul,Municipal,Rural,4.6,1.8,22.12,23.06,22.3,17.51,8.51,4.33,0.37,2019
1486,Mato Grosso do Sul,Privada,Total,6.25,0.09,0.3,1.1,4.74,10.56,19.3,46.39,17.53,2019
1489,Mato Grosso do Sul,Privada,Urbana,6.28,0.09,0.13,0.7,4.14,10.28,19.44,47.29,17.92,2019
1492,Mato Grosso do Sul,Privada,Rural,4.95,0,7.33,18.35,30.62,22.61,13.11,7.36,0.62,2019
1504,Mato Grosso do Sul,Pública,Total,5.03,0.44,10.01,16.03,22.73,22.89,15.88,10.93,1.1,2019
1507,Mato Grosso do Sul,Pública,Urbana,5.06,0.33,9.05,15.44,22.75,23.35,16.48,11.46,1.15,2019
1510,Mato Grosso do Sul,Pública,Rural,4.66,1.58,20.22,22.23,22.58,18.04,9.56,5.28,0.52,2019
1513,Mato Grosso,Total,Total,5.03,0.37,10.96,16.95,22.68,21.23,14.2,11.42,2.2,2019
1516,Mato Grosso,Total,Urbana,5.06,0.35,10.52,16.46,22.34,21.23,14.61,12.1,2.38,2019
1519,Mato Grosso,Total,Rural,4.74,0.52,15.42,21.91,26.12,21.18,10.01,4.55,0.29,2019
1522,Mato Grosso,Federal,Total,5.26,0.1,5.11,12,20.23,25.83,18.73,17.1,0.9,2019
1525,Mato Grosso,Federal,Urbana,5.31,0,4.3,11.15,19.18,26.25,19.73,18.41,0.99,2019
1528,Mato Grosso,Federal,Rural,5.09,0.46,7.85,14.89,23.77,24.42,15.36,12.67,0.58,2019
1531,Mato Grosso,Estadual,Total,4.89,0.44,12.46,18.8,24.61,22.22,13.18,7.57,0.72,2019
1534,Mato Grosso,Estadual,Urbana,4.91,0.43,12.11,18.51,24.54,22.35,13.46,7.83,0.76,2019
1537,Mato Grosso,Estadual,Rural,4.71,0.57,16.83,22.32,25.4,20.58,9.72,4.36,0.22,2019
1540,Mato Grosso,Municipal,Total,4.9,0.36,12.23,18.91,24.98,21.78,13.1,7.88,0.76,2019
1543,Mato Grosso,Municipal,Urbana,4.93,0.34,11.8,18.32,24.57,21.82,13.71,8.61,0.84,2019
1546,Mato Grosso,Municipal,Rural,4.74,0.46,14.59,22.22,27.27,21.56,9.74,3.83,0.33,2019
1549,Mato Grosso,Privada,Total,6.07,0.02,0.57,2.94,7.07,13.73,21.66,40.12,13.9,2019
1552,Mato Grosso,Privada,Urbana,6.07,0.02,0.57,2.95,7.07,13.72,21.65,40.11,13.91,2019
1555,Mato Grosso,Privada,Rural,5.94,0,0,0,6.25,18.75,31.25,43.75,0,2019
1567,Mato Grosso,Pública,Total,4.9,0.41,12.25,18.7,24.63,22.16,13.26,7.84,0.74,2019
1570,Mato Grosso,Pública,Urbana,4.92,0.4,11.89,18.34,24.46,22.27,13.63,8.22,0.79,2019
1573,Mato Grosso,Pública,Rural,4.74,0.52,15.44,21.95,26.15,21.18,9.98,4.49,0.29,2019
1576,Goiás,Total,Total,5.16,0.55,7.86,13.42,21.28,23.45,17.01,14.05,2.38,2019
1579,Goiás,Total,Urbana,5.18,0.52,7.66,13.26,21.15,23.51,17.19,14.26,2.44,2019
1582,Goiás,Total,Rural,4.81,1.45,14.18,18.32,25.33,21.65,11.26,7.22,0.59,2019
1585,Goiás,Federal,Total,5.31,0.9,3.79,9.09,20.23,25.42,22.77,16.14,1.67,2019
1588,Goiás,Federal,Urbana,5.35,0.93,3.58,8.31,18.63,26.43,23.66,16.55,1.91,2019
1591,Goiás,Federal,Rural,5.2,0.8,4.4,11.45,25.06,22.37,20.11,14.89,0.92,2019
1594,Goiás,Estadual,Total,4.99,0.83,9.89,15.43,23.83,24.27,15.21,9.65,0.88,2019
1597,Goiás,Estadual,Urbana,5,0.79,9.71,15.33,23.8,24.41,15.34,9.73,0.89,2019
1600,Goiás,Estadual,Rural,4.54,3.69,21.04,21.77,25.54,15.84,7.38,4.55,0.19,2019
1603,Goiás,Municipal,Total,4.99,0.44,8.8,16.13,24.99,25.22,15.35,8.34,0.73,2019
1606,Goiás,Municipal,Urbana,5,0.42,8.54,15.99,24.89,25.34,15.56,8.5,0.75,2019
1609,Goiás,Municipal,Rural,4.81,0.82,13.54,18.55,26.87,23,11.42,5.47,0.33,2019
1612,Goiás,Privada,Total,6,0,0.52,2.21,6.24,17.25,25.25,38.42,10.1,2019
1615,Goiás,Privada,Urbana,6,0,0.48,2.14,6.24,17.12,25.35,38.51,10.15,2019
1618,Goiás,Privada,Rural,5.56,0,4.6,9.57,6.48,30.23,14.66,29.61,4.85,2019
1630,Goiás,Pública,Total,5,0.66,9.34,15.67,24.31,24.7,15.35,9.14,0.82,2019
1633,Goiás,Pública,Urbana,5,0.63,9.15,15.56,24.23,24.83,15.5,9.25,0.84,2019
1636,Goiás,Pública,Rural,4.77,1.53,14.72,18.82,26.4,21.16,11.07,5.95,0.34,2019
1639,Distrito Federal,Total,Total,5.54,0.27,3.97,8.6,16.18,20.61,19.44,24.31,6.62,2019
1642,Distrito Federal,Total,Urbana,5.56,0.25,3.74,8.29,15.92,20.5,19.6,24.86,6.85,2019
1645,Distrito Federal,Total,Rural,5.02,0.72,9.63,16.23,22.45,23.42,15.56,10.88,1.13,2019
1648,Distrito Federal,Federal,Total,6.02,0,0.7,4.22,6.75,9.31,24.45,49.09,5.48,2019
1651,Distrito Federal,Federal,Urbana,6.08,0,0.12,2.93,5.96,8.6,25.07,51.47,5.85,2019
1654,Distrito Federal,Federal,Rural,5.04,0,9.31,23.45,18.61,19.98,15.14,13.52,0,2019
1657,Distrito Federal,Estadual,Total,5.26,0.31,5.22,11.33,20.55,24.84,19.78,15.94,2.03,2019
1660,Distrito Federal,Estadual,Urbana,5.27,0.3,5.06,11.1,20.42,24.87,19.98,16.2,2.08,2019
1663,Distrito Federal,Estadual,Rural,5.05,0.65,8.27,15.77,22.97,24.18,16.1,10.99,1.08,2019
1666,Distrito Federal,Municipal,Total,0,,,,,,,,,2019
1669,Distrito Federal,Municipal,Urbana,0,,,,,,,,,2019
1672,Distrito Federal,Municipal,Rural,0,,,,,,,,,2019
1675,Distrito Federal,Privada,Total,6.32,0.14,0.49,0.87,3.95,8.9,18.24,47.44,19.96,2019
1678,Distrito Federal,Privada,Urbana,6.33,0.13,0.24,0.73,3.9,8.91,18.34,47.69,20.07,2019
1681,Distrito Federal,Privada,Rural,4.35,2.75,41.23,23.66,12,7.34,3.22,7.13,2.67,2019
1693,Distrito Federal,Pública,Total,5.27,0.31,5.15,11.23,20.34,24.6,19.85,16.43,2.08,2019
1696,Distrito Federal,Pública,Urbana,5.29,0.29,4.99,10.98,20.21,24.63,20.05,16.72,2.13,2019
1699,Distrito Federal,Pública,Rural,5.05,0.63,8.29,15.91,22.89,24.1,16.08,11.03,1.06,2019
0,Rondônia,Total,Total,4.97,0.36,9.09,19.03,26.39,21.56,12.96,9.11,1.51,2021
3,Rondônia,Total,Urbana,5.0,0.32,8.72,18.4,25.93,21.65,13.61,9.73,1.64,2021
6,Rondônia,Total,Rural,4.71,0.67,12.36,24.51,30.47,20.75,7.29,3.66,0.3,2021
9,Rondônia,Federal,Total,0.0,,,,,,,,,2021
12,Rondônia,Federal,Urbana,0.0,,,,,,,,,2021
15,Rondônia,Federal,Rural,0.0,,,,,,,,,2021
18,Rondônia,Estadual,Total,4.94,0.33,8.78,19.12,27.21,22.58,13.3,7.78,0.9,2021
21,Rondônia,Estadual,Urbana,4.95,0.3,8.73,18.98,27.09,22.6,13.45,7.92,0.91,2021
24,Rondônia,Estadual,Rural,4.71,1.21,10.85,24.15,31.48,21.85,7.66,2.44,0.36,2021
27,Rondônia,Municipal,Total,4.78,0.49,11.67,22.68,29.11,21.11,9.65,4.82,0.47,2021
30,Rondônia,Municipal,Urbana,4.82,0.44,11.04,21.79,28.58,21.38,10.68,5.54,0.56,2021
33,Rondônia,Municipal,Rural,4.66,0.64,13.76,25.63,30.84,20.23,6.27,2.45,0.19,2021
36,Rondônia,Privada,Total,5.92,0.03,0.51,3.14,9.24,16.07,24.36,36.47,10.17,2021
39,Rondônia,Privada,Urbana,6.0,0.03,0.37,1.85,7.43,15.21,25.28,38.66,11.18,2021
