,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
155,2020,Espírito Santo,Privada,27.43357,3715.859
158,2020,Espírito Santo,Pública,25.92416,4839.972
161,2020,Rio de Janeiro,Estadual,19.13112,5843.232
164,2020,Rio de Janeiro,Privada,27.98734,3187.97
167,2020,Rio de Janeiro,Pública,27.15132,5755.21
170,2020,São Paulo,Estadual,33.99119,4202.715
173,2020,São Paulo,Privada,28.45683,4281.567
176,2020,São Paulo,Pública,32.92311,5133.012
179,2020,Paraná,Estadual,23.46351,6895.574
182,2020,Paraná,Privada,27.29193,3276.857
185,2020,Paraná,Pública,24.75296,5697.005
188,2020,Santa Catarina,Estadual,24.80396,4807.192
191,2020,Santa Catarina,Privada,28.55564,3603.568
194,2020,Santa Catarina,Pública,29.11282,5034.346
197,2020,Rio Grande do Sul,Estadual,28.66616,3796.78
200,2020,Rio Grande do Sul,Privada,26.47432,3984.144
203,2020,Rio Grande do Sul,Pública,25.51166,5285.554
206,2020,Mato Grosso do Sul,Estadual,20.60489,7034.201
209,2020,Mato Grosso do Sul,Privada,26.16525,3896.709
212,2020,Mato Grosso do Sul,Pública,22.20772,6586.577
215,2020,Mato Grosso,Estadual,39.99904,4485.311
218,2020,Mato Grosso,Privada,26.43786,4099.347
221,2020,Mato Grosso,Pública,34.49738,5042.195
224,2020,Goiás,Estadual,40.13612,4101.341
227,2020,Goiás,Privada,28.55776,3058.731
230,2020,Goiás,Pública,35.75151,5234.276
233,2020,Distrito Federal,Estadual,33.62677,7583.562
236,2020,Distrito Federal,Privada,27.38122,5457.459
239,2020,Distrito Federal,Pública,33.79133,7748.634
