,year,region,adm,hoursPerWeek_1,salaryPer40Hours_2
89,2015,Minas Gerais,Estadual,24.29381,3393.505
92,2015,Minas Gerais,Privada,28.50123,3114.103
95,2015,Minas Gerais,Pública,25.82641,3452.393
98,2015,Mato Grosso do Sul,Estadual,20.93261,5985.119
101,2015,Mato Grosso do Sul,Privada,29.23145,2663.868
104,2015,Mato Grosso do Sul,Pública,23.49224,4900.702
107,2015,Mato Grosso,Estadual,39.99879,2488.238
110,2015,Mato Grosso,Privada,27.95955,2965.782
113,2015,Mato Grosso,Pública,35.84739,2929.467
116,2015,Pará,Estadual,20.48848,10259.57
119,2015,Pará,Privada,28.82825,2512.846
122,2015,Pará,Pública,30.20892,4522.662
125,2015,Paraíba,Estadual,30.01612,2196.832
128,2015,Paraíba,Privada,27.48077,1681.126
131,2015,Paraíba,Pública,34.76536,2397.233
134,2015,Pernambuco,Estadual,35.57095,2681.676
137,2015,Pernambuco,Privada,30.47937,1993.921
140,2015,Pernambuco,Pública,35.71423,2860.336
143,2015,Piauí,Estadual,32.72479,2801.011
146,2015,Piauí,Privada,29.59195,2038.551
149,2015,Piauí,Pública,35.6793,2684.944
152,2015,Paraná,Estadual,22.15362,6030.24
155,2015,Paraná,Privada,28.55102,2753.252
158,2015,Paraná,Pública,24.05548,4671.828
161,2015,Rio de Janeiro,Estadual,38.1822,2530.463
164,2015,Rio de Janeiro,Privada,29.71838,2632.451
167,2015,Rio de Janeiro,Pública,30.95552,3758.306
170,2015,Rio Grande do Norte,Estadual,40.0,2674.726
173,2015,Rio Grande do Norte,Privada,33.72054,1618.824
176,2015,Rio Grande do Norte,Pública,35.35859,3304.72
179,2015,Rondônia,Estadual,38.25256,2529.791
182,2015,Rondônia,Privada,29.59887,2781.498
185,2015,Rondônia,Pública,35.35752,2813.137
188,2015,Roraima,Estadual,30.83317,4381.331
191,2015,Roraima,Privada,33.11616,2333.701
194,2015,Roraima,Pública,31.13281,3948.701
197,2015,Rio Grande do Sul,Estadual,30.35019,3273.05
200,2015,Rio Grande do Sul,Privada,27.34201,3097.982
203,2015,Rio Grande do Sul,Pública,26.5999,3982.986
206,2015,Santa Catarina,Estadual,24.89733,4399.545
209,2015,Santa Catarina,Privada,30.42815,2796.633
212,2015,Santa Catarina,Pública,29.03498,3772.799
215,2015,Sergipe,Estadual,39.93304,3653.154
